Devices
1000
,,Analog EMG - Voltage,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8
,,V,V,V,V,V,V,V,V
1,0,0.00714983,-0.0215737,0.00326102,-0.00555202,0.105118,-0.0327846,-0.00350952,0.00326756
1,1,-0.00307356,-0.0244729,0.00234549,-0.0128762,-0.00154119,-0.025613,0.00534058,-0.0010049
1,2,0.0129482,-0.0214212,0.00142997,-0.0191323,-0.148483,-0.0260707,0.00442505,-0.00878688
1,3,0.0355312,0.0451072,-0.0170332,-0.015928,-0.0711213,-0.0262233,0.00076294,-0.0148904
1,4,0.0323268,0.00238255,-0.0358015,-0.00738307,-0.0401459,-0.0298854,0.00579834,0.00845555
1,5,0.0182887,0.00772313,-0.0380903,0.000551498,-0.059372,-0.0237819,0.00808716,0.0115073
1,6,0.00592913,0.0193198,-0.0214582,0.00497655,-0.023819,-0.0231716,-0.000610351,0.00143651
1,7,0.022256,0.0475486,-0.00726754,0.00726536,-0.0418244,-0.0250026,0.00930786,-0.000241961
1,8,0.0393459,0.0446494,0.0163836,0.0107749,-0.0447236,-0.0272914,0.00320435,0.00616673
1,9,0.0105068,0.0443442,0.0247759,0.0121482,-0.0814972,-0.0860378,0.0108337,0.000826154
2,0,-0.00932966,0.042208,-0.00711496,0.0132163,-0.10881,-0.0967189,0.00213623,0.0052512
2,1,-0.0319127,0.0400718,0.00936454,0.0228293,-0.0558625,-0.122659,0.00808716,0.00570897
2,2,-0.119803,0.0419028,0.0142473,0.0245078,-0.106064,-0.128457,0.00076294,-0.00420925
2,3,-0.0215367,0.0429709,0.00341361,0.0132163,-0.0709687,0.0772313,-0.0140381,-0.00542995
2,4,0.14692,0.0385459,-0.0133711,-0.00219508,0.0903167,0.213797,0.000457764,0.00921849
2,5,-0.0168065,-0.0122659,-0.00299508,0.0101645,0.0724639,0.0729588,-0.000915527,-0.00436183
2,6,-0.124076,-0.00768825,-0.0173383,-0.00402614,-0.00352483,-0.0137111,-0.0038147,-0.00466701
2,7,-0.0735692,-0.0173013,-0.00635202,-0.0153176,0.0842132,-0.0562831,0.00518799,0.00677708
2,8,0.0320217,-0.0469033,-0.00207956,-0.00921413,0.133652,-0.0234767,-0.0050354,0.00570897
2,9,0.0337001,0.0124534,-0.0014692,-0.00463649,0.083908,-0.00150408,0.00167847,-0.0112283
3,0,0.0828334,0.0103171,-0.00772531,-0.0209634,0.0102081,0.0505284,0.00228882,-0.00756618
3,1,0.0715419,0.0333579,0.00371878,-0.0121133,-0.245224,0.0245885,0.000457764,-0.00848171
3,2,-0.0236729,0.0174888,-0.0014692,-0.0131814,-0.124527,0.0155858,0.00274658,-0.000547137
3,3,-0.000326974,0.00116185,0.0104327,-0.00662013,0.104202,0.0265721,0.00518799,-0.00390407
3,4,0.045602,0.0121482,0.00692313,-0.00997707,0.0855865,0.0261143,-0.000152587,-0.000547137
3,5,-0.00719343,0.00985936,0.00326102,-0.0139444,0.000442456,0.0207738,-0.0088501,-0.000547137
3,6,-0.0320653,-0.00188991,-0.0182539,-0.0118081,0.00837703,0.0227574,-0.0196838,0.000215803
3,7,-0.0287083,0.021456,-0.0187116,-0.00845119,0.0814666,0.0212315,-0.00457764,-0.000394549
3,8,-0.0265721,0.0124534,-0.0174909,0.0017722,0.0492706,0.0242833,-0.00686645,-0.00741359
3,9,0.0140163,-0.0188272,-0.0150495,0.0107749,-0.0338898,0.0186375,-0.019989,0.00250462
4,0,0.0413295,-0.0226419,-0.0196272,0.0147422,-0.182205,0.0180272,-0.00961304,0.00769261
4,1,-0.103324,-0.028898,-0.0148969,0.0208457,-0.217148,0.0222996,-0.00549316,0.00769261
4,2,-0.042899,-0.00784084,-0.0171858,0.00711278,-0.180527,0.0200108,0.00305176,0.0116599
4,3,0.0280544,0.0148948,-0.0153547,-0.0082986,-0.076767,0.0195531,-0.00198364,0.00891331
4,4,0.095956,0.011843,-0.021153,-0.0180642,-0.113083,0.0204686,-0.0088501,0.00296238
4,5,0.0266811,-0.000364032,0.0176043,-0.0137918,-0.0962983,0.0189427,0.00213623,-0.00298854
4,6,-0.0258092,-0.00738307,0.0395769,-0.0272195,-0.0256501,0.0122288,0.00213623,0.000215803
4,7,-0.0511387,-0.0375955,0.0349993,-0.0424783,-0.126968,0.0213841,0.0196838,0.0163901
4,8,0.0332424,-0.0549905,0.0443072,-0.0461404,0.165848,0.017722,0.0175476,-0.00756618
4,9,-0.00170026,0.0347312,0.0177569,-0.0351541,0.455002,0.0160435,0.0224304,-0.00832912
5,0,0.0182887,0.0115378,-0.00207956,-0.0394265,0.390152,0.012534,0.0112915,-0.00710842
5,1,0.0465175,0.0106223,-0.0104719,-0.030729,0.17363,0.0168065,0.0038147,-0.0135171
5,2,0.0169155,0.00192479,0.0101275,-0.0304238,0.0996246,0.0152806,-0.00350952,-0.0197732
5,3,-0.0184849,0.00665501,0.0108904,-0.0342385,0.0222625,0.0139073,-0.00549316,0.00738743
5,4,0.0608608,0.00024632,0.00493949,-0.0304238,-0.223557,0.0140599,-0.0102234,-0.00741359
5,5,-0.050681,-0.0127237,0.0337786,-0.028898,-0.233627,0.0139073,-0.00335693,0.00158909
5,6,0.023019,-0.00845119,0.0311846,-0.0275247,-0.266129,0.0116185,-0.00137329,0.0078452
5,7,0.0176784,-0.0523965,0.0166888,-0.0305764,-0.0842438,0.0143651,0.00747681,0.0171531
5,8,-0.0143651,-0.0485818,0.00524466,0.00741795,0.151352,0.0172642,0.00259399,0.0121177
5,9,-0.00688825,-0.00188991,0.0131792,0.00726536,0.0750579,0.0105504,4.65661e-010,0.00128392
6,0,0.0195095,0.0176413,0.0151629,0.0145896,-0.0561677,0.0120762,0.018158,0.00418309
6,1,-0.00536237,0.0151999,0.0221819,-0.00372096,-0.00444036,0.0136021,0.0164795,-0.0010049
6,2,0.00806536,0.0420554,0.0227923,-0.0116555,0.0459136,0.0172642,0.00396729,-0.0119912
6,3,0.0367519,-0.01074,0.00509208,-0.0246255,0.0611724,0.0103978,-0.000915527,-0.00619289
6,4,0.0117275,-0.0469033,0.0143999,-0.0148599,0.00517268,0.0113133,-0.00549316,-0.00451442
6,5,-0.0471715,-0.0163858,-0.00299508,0.00253514,-0.102707,0.0134495,-0.00244141,-0.00390407
6,6,-0.0308446,-0.00478908,-0.0147443,0.00894383,-0.201889,0.0132969,0.000915528,0.000826154
6,7,-0.0062779,-0.0032632,-0.0165754,0.0177939,-0.0738678,0.00780379,0.00762939,0.000673566
6,8,-0.0103978,-0.0258462,-0.0130659,0.0107749,0.0286712,0.0100926,0.00915527,6.32147e-005
6,9,-0.0885228,-0.00875637,0.00173514,0.0119956,-0.0151215,0.010703,-0.00595093,0.00372532
7,0,0.0565883,0.0271018,-0.0152021,0.0127585,-0.137497,0.00948225,0.0038147,0.00235203
7,1,-0.0244359,0.0127585,-0.00925119,0.00924901,-0.0375519,0.0102452,0.0038147,0.0113547
7,2,-0.0131444,-0.000516619,0.0209612,0.0113852,0.087265,0.00826155,0.00305176,0.00235203
7,3,-0.0548008,0.0385459,0.0189776,0.0153525,0.0584259,0.00902449,0.00137329,0.0147117
7,4,0.0315639,0.0187095,0.00158255,0.00955418,-0.0377045,0.00871931,-0.00442505,0.00036839
7,5,-0.0438145,0.0185569,0.00875419,0.0080283,-0.0450287,0.0119237,-0.00961304,-0.0010049
7,6,-0.0963048,0.0254233,-0.0110822,0.0121482,-0.188156,0.00902449,-0.0105286,-0.00588771
7,7,0.0675746,0.00589207,0.00310843,-0.0285928,-0.278946,0.00810896,-0.0012207,-0.00710842
7,8,0.0791713,0.0168784,0.00738089,-0.0348489,-0.101028,0.00643049,-0.00335693,0.000978742
7,9,0.050027,-0.01074,-0.0168806,-0.0241677,0.105881,0.010703,0.00686646,0.0130332
8,0,0.0288173,-0.0424783,-0.00772531,-0.00753566,0.119766,0.00902449,-0.0120544,0.0186789
8,1,0.0394985,-0.0134866,-0.000553676,9.37341e-005,0.00608821,0.00749861,-0.00732422,0.0177634
8,2,0.0263759,0.0185569,0.00310843,-0.00158473,-0.072342,0.0103978,-0.00289917,0.0125754
8,3,0.0794765,-0.00784084,-9.59124e-005,0.00284032,-0.178543,0.0050572,-0.00442505,0.000673566
8,4,0.027444,-0.0197427,-0.0132185,0.00711278,-0.0253449,0.00780379,0.0123596,-0.00527736
8,5,-0.0435093,-0.0249307,-0.0139814,0.00253514,0.013565,0.00810896,0.00305176,-0.00573513
8,6,0.0466701,-0.0173013,-0.00635202,0.00634984,0.106338,0.00994002,-0.00167847,-0.000852313
8,7,-0.00185285,0.00543431,-0.00345285,0.0179465,0.0741424,0.00551497,-0.00534058,-0.00436183
8,8,-0.0813511,-0.00265285,-0.00787789,0.0173362,0.126938,0.00810896,-0.0169373,0.00464085
8,9,-0.0323704,-0.0121133,-0.0052839,0.0322898,0.240158,0.00719343,-0.000762939,-0.00634548
9,0,0.00287737,0.0115378,0.0047869,0.0228293,0.00639338,0.0108555,0.00961304,-0.00924465
9,1,-0.0128392,-0.000669207,0.000667027,0.0267966,0.0449981,0.00276839,-0.000915527,-0.0119912
9,2,0.00745501,0.0055869,-0.00513131,0.0182517,0.102676,0.00704085,0.0050354,-0.0110757
9,3,-0.025504,-0.00234767,-0.00452096,0.00451878,0.0233306,0.00566756,-0.00106811,0.000826154
9,4,-0.00841413,0.0127585,0.0133318,-0.00341579,-0.0670014,0.00612532,-0.00305176,-0.00436183
9,5,-0.0142125,0.0029929,0.00341361,0.00467137,-0.103012,0.00551497,-0.00167847,0.00372532
9,6,-0.0122288,0.00955418,0.00158255,0.0104697,-0.117661,-0.00577654,-0.000915527,0.00845555
9,7,0.00699724,0.0151999,0.00875419,0.0055869,-0.124985,-0.171334,0.000457764,-0.00588771
9,8,0.0135585,0.00268773,-0.00421579,0.0113852,-0.12117,0.00826155,0.0125122,0.00326756
9,9,-0.0107029,-0.0475137,-0.0199323,0.00970677,-0.119949,0.110038,0.010376,0.0090659
10,0,0.0355312,-0.0519387,-0.0199323,0.0142844,-0.188614,0.104392,0.00350952,-0.0100076
10,1,0.0646755,-0.0108926,-0.0155073,0.00757054,-0.114609,0.0715855,0.0012207,0.00250462
10,2,-0.0146702,-0.0206582,-0.0121504,0.00482396,-0.0253449,0.0248936,0.0088501,-0.00268337
10,3,-0.0303868,0.0080283,-0.00696237,0.00543431,0.0556793,-0.0050136,0.014801,-0.00497219
10,4,0.0118801,-0.00768825,-0.031529,-0.000669205,0.0224151,-0.00974382,-0.00167847,0.00113133
10,5,-0.0168065,0.0193198,-0.00696237,-0.00509425,0.122818,-0.0111171,-0.0166321,0.0102866
10,6,-0.0148228,0.0376304,0.02325,-0.0122659,0.113052,-0.0127956,-0.0274658,0.00830296
10,7,-0.00551496,0.00833348,0.0321001,-0.00692531,-0.0808869,-0.00516619,-0.0248718,-0.00436183
10,8,-0.00948225,-0.0147073,0.0365252,-0.00311061,-0.130478,-0.00806536,-0.00640869,0.00128392
10,9,0.000283378,0.00863865,0.0453753,0.00345067,-0.0921784,-0.00943865,0.000915528,-0.00436183
