Devices
1000
,,Analog EMG - Voltage,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8
,,V,V,V,V,V,V,V,V
1,0,-0.0113133,-0.0044839,-0.0118452,0.0100119,-0.100571,0.0897435,0.020752,0.012728
1,1,-0.000784737,0.000856672,-0.0101667,0.0109275,-0.0650177,0.00856673,0.0195313,0.0102866
1,2,0.00425066,0.000551496,-0.0107771,0.00451878,-0.006424,-0.0205776,0.0138855,0.0180686
1,3,-0.000174386,-0.0130288,-0.0138288,0.0104697,-0.036789,-0.0175258,0.0218201,0.0170005
1,4,0.0050136,-0.00402614,-0.00787789,0.0130637,-0.0280915,-0.0442287,0.0193787,0.0090659
1,5,0.00913348,0.00024632,-0.00940377,0.0107749,-0.0189362,-0.0427028,0.0166321,0.0195945
1,6,0.0112697,0.00772313,-0.00970895,0.00757054,-0.0128327,-0.0442287,0.0131226,0.0121177
1,7,-0.00414167,-0.000211444,-0.0124555,0.0106223,-0.011612,-0.0399562,0.0187683,0.0150168
1,8,-0.000174386,0.000551496,-0.00711496,0.00924901,-0.0113068,-0.0364467,0.0164795,0.00830296
1,9,0.00684466,0.0029929,-0.00864083,0.00863866,-0.0139008,-0.03782,0.0149536,0.00799778
2,0,0.0108119,0.00528172,-0.0104719,0.0068076,-0.0137482,-0.039651,0.0157166,0.0119651
2,1,0.0115749,-0.00143215,-0.0135236,0.00787572,-0.0102387,-0.0353786,0.0157166,0.0131858
2,2,0.0112697,0.00375584,-0.00787789,0.0100119,0.00273127,-0.00165666,0.00869751,0.0078452
2,3,0.00135149,0.00207737,-0.0280195,0.00528172,-0.114304,0.00185286,-0.0128174,0.0090659
2,4,-0.00978742,-0.00188991,-0.0379377,-0.0104348,-0.17366,-0.000588548,-0.00946045,0.00967625
2,5,-0.0154332,-0.000669207,-0.0345808,-0.0220315,-0.205704,0.0194005,-0.00289917,0.0136435
2,6,-0.0103978,0.00146702,-0.0107771,-0.0316445,-0.180679,0.00444685,0.00869751,0.00799778
2,7,-0.00398908,-0.000516619,0.00142997,-0.025541,-0.0229035,0.00704085,0.0244141,0.00708226
2,8,-0.00780378,0.00024632,0.000972203,-0.0137918,0.0590362,0.00932966,0.015564,0.00647191
2,9,-0.00154768,0.00131444,0.00326102,-0.00997707,0.087265,0.00612532,-0.00656128,-0.0174844
3,0,0.00119891,0.00268773,-0.000706264,0.000246322,0.0527801,-0.00318254,-0.0123596,-0.0219094
3,1,0.00104632,-0.00509426,0.011043,-0.00906154,-0.0529633,-0.0277492,-0.0177002,-0.0193154
3,2,-0.000937325,-0.00372097,0.0104327,-0.0095193,0.0367584,-0.0309535,-0.00686645,-0.0161111
3,3,0.00531878,0.00345067,0.0122637,-0.00265285,0.0750579,-0.0211879,-0.0088501,-0.0191629
3,4,0.00684466,-0.00463649,0.0147051,-0.0111978,0.0448455,-0.00684465,-0.00198364,-0.0048196
3,5,0.00699724,-0.00250026,0.0124163,-0.0214212,0.0189056,-0.0167629,-0.00457764,6.32147e-005
3,6,-0.0113133,-0.00127956,0.0143999,-0.0144021,-0.00108342,-0.0120326,-0.00305176,-0.00237819
3,7,-0.00551496,-0.000974383,0.0134844,-0.0183694,-0.0242768,-0.0166103,-0.0088501,-0.00436183
3,8,-0.00154768,-0.00158473,0.00997489,-0.0119607,-0.0128327,-0.0135585,-0.00640869,-0.00131008
3,9,-0.0050572,0.00451878,0.0121111,0.00696019,-0.0447236,-0.0155422,-0.0062561,-0.0048196
4,0,-0.00841413,0.00833348,0.0098223,0.0017722,-0.0938569,-0.0187465,-0.0088501,0.00113133
4,1,-0.0062779,-0.00234767,0.00829642,-0.00036403,-0.0625763,-0.0117275,-0.000762939,0.00219945
4,2,0.00241961,0.00848607,0.0128741,0.00207738,0.0324859,-0.0343105,-0.0332642,-0.00497219
4,3,0.00013079,0.000704084,0.0104327,-0.00555202,0.0012054,-0.0488063,-0.039978,-0.00268337
4,4,0.00577654,0.000398908,0.00921195,-0.00280544,0.0128021,-0.0216457,-0.0318909,-0.00192043
4,5,0.00348772,0.000704084,0.00661795,-0.00234767,-0.00291448,0.0593785,-0.0242615,0.00204686
4,6,0.0156948,-0.00112697,0.0191302,0.00207738,0.0218048,0.101645,-0.00747681,-0.00146266
4,7,0.00409807,-0.00616237,0.00738089,-0.00570461,0.0822296,-0.0159999,0.0257874,-0.00115749
4,8,0.00272478,0.00116185,0.00738089,-0.00402614,0.0645294,0.0369481,0.00152588,0.00372532
4,9,0.00486101,-0.00555202,0.00783866,0.0126059,0.00502009,0.0088719,0.000457764,0.00464085
5,0,0.00440325,-0.00250026,0.0131792,0.0104697,-0.0366364,-0.0146266,0.00320435,-0.0022256
5,1,0.00776018,0.00421361,0.00753348,-0.00646755,-0.0755463,0.0670079,-0.00259399,0.00738743
5,2,-2.17979e-005,-0.00662014,0.00753348,0.0130637,-0.0958405,0.0580052,0.00213623,-0.00787136
5,3,0.000283378,-0.00417873,0.00692313,0.0109275,-0.084549,0.0190953,0.00076294,-0.0196206
5,4,-0.00276838,0.00589207,0.0108904,0.0255759,-0.0477753,-0.00104631,0.00076294,-0.0145852
5,5,-0.00475202,-0.000211444,-0.0399214,0.0190146,-0.0415192,-0.00302995,0.00228882,-0.007261
5,6,-0.0142125,-0.00295803,-0.0330549,0.0194724,-0.105606,0.0026158,0.00808716,-0.00756618
5,7,-0.0116185,0.00589207,-0.0243574,0.0184043,-0.124222,-0.00470842,-0.00534058,-0.0151956
5,8,-0.0113133,-0.00509426,-0.0275617,0.0208457,-0.0616608,-0.00287737,-0.00930786,-0.00359889
5,9,-0.0110081,-0.00616237,-0.0354963,0.0180991,0.136703,-0.000741136,0.00167847,-0.00741359
6,0,-0.0050572,0.00543431,-0.0214582,0.0180991,0.161118,0.00200545,-0.000152587,0.00326756
6,1,-0.00322614,0.0167258,0.0035662,-0.0287454,0.0996246,-0.0622341,-0.0160217,-0.00909206
6,2,-0.00719343,-0.000821795,0.00326102,-0.0655191,0.0454559,-0.0530788,-0.0105286,-0.00253078
6,3,-0.00688825,-0.00387355,0.00432914,-0.0505654,-0.00398259,-0.0381252,-0.00930786,-0.00451442
6,4,0.00562395,-0.000821795,0.0195879,-0.0713174,-0.0196991,-0.0277492,-0.00320435,-0.00756618
6,5,-0.00139509,0.00696019,0.0508684,-0.046293,0.0111236,-0.00867571,0.00732422,-0.0048196
6,6,-0.00292097,0.00436619,0.0714678,-0.0269143,0.0280609,0.0567845,0.017395,0.00128392
6,7,-0.00459943,-0.00219509,0.0629229,0.0080283,0.0218048,0.0230626,0.0161743,-0.00359889
6,8,0.00287737,-0.00662014,0.0490374,0.0205405,0.0124969,-0.0805446,0.00778198,-0.000699725
6,9,-0.00444685,-0.0111978,0.021419,0.0293906,-0.018631,-0.104653,0.00244141,-0.00344631
7,0,0.000588554,-0.0044839,0.00890677,0.0203879,-0.0337372,0.0300816,-0.0100708,-0.00466701
7,1,-0.00490461,-0.000211444,0.00371878,0.00970677,-0.0349579,0.0371007,0.00579834,-0.00253078
7,2,0.000283378,-0.00478908,-0.0124555,0.0254233,-0.0241242,0.0412205,-0.00305176,-0.00436183
7,3,-0.0024632,-0.0032632,-0.01154,0.0203879,-0.0302277,0.0938634,-0.0088501,-0.00344631
7,4,-0.00429426,-0.0121133,-0.0113874,-0.0139444,-0.0460969,0.00627791,-0.010376,-0.00375148
7,5,0.00150408,-0.0153176,-0.0109297,-0.0336282,-0.0660859,-0.0346156,-0.0151062,0.000673566
7,6,-0.00444685,-0.0151651,-0.0126081,-0.0244729,-0.0641022,-0.0694057,-0.0125122,-0.00115749
7,7,0.00714983,-0.00936672,-0.00894601,-0.0530069,-0.0674592,-0.0442287,-0.0270081,0.00479344
7,8,0.00272478,-0.00127956,-0.00665719,-0.0298135,-0.079361,0.160086,-0.0222778,-0.00176784
7,9,-0.00566755,-0.00662014,-0.00940377,0.0165732,-0.0575409,0.304587,-0.0138855,-0.0121438
8,0,0.00135149,-0.00845119,-0.00574166,0.0592978,-0.0294648,0.0900487,-0.000152587,-0.0122964
8,1,0.00730242,-0.00753566,-0.00452096,0.0646384,0.0158538,-0.022256,0.010376,0.00372532
8,2,0.000741142,-0.00311061,-0.00803048,0.0658591,0.058731,-0.00898088,0.0062561,0.00174168
8,3,0.00409807,-0.00341579,-0.00986154,0.0663169,0.00852961,-0.0147792,0.0111389,0.00433568
8,4,0.00852312,-0.00555202,-0.00742013,0.0592978,-0.0120698,-0.0124904,0.0154114,0.015322
