Devices
1000
,,Analog EMG - Voltage,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8
,,V,V,V,V,V,V,V,V
1,0,0.00177479,-0.00143004,-0.00368881,-0.00217009,0.00292826,0.0194216,0.00104046,-0.000161648
1,1,-0.00249767,-0.00127745,-0.000942231,-0.00796843,-0.0013442,0.0180483,0.00836468,-0.00107718
1,2,-0.00585461,0.0031476,-0.00368881,-0.00781584,2.90871e-005,0.0139284,-0.00491047,-0.0106902
1,3,-0.00326061,-0.00249815,-0.0102501,-0.00842619,-0.00363302,0.0153017,-0.0020113,0.00380564
1,4,-0.00860119,-0.00341368,-0.00704575,-0.00506926,-0.00271749,0.0149965,-0.00307941,-0.00107718
1,5,-0.01089,-0.00356627,-0.00796127,0.0056119,0.00216532,0.0174379,0.000887871,-0.000771999
1,6,-0.00738049,-0.000514508,-0.00567246,0.00790071,0.000486851,0.0131655,-0.00353718,-0.00534964
1,7,-0.00615978,-0.00127745,-0.00429916,0.00912142,-0.00180197,0.0130129,-0.00277424,0.00121164
1,8,-0.00585461,0.00146913,-0.00826645,0.00439119,-0.00287008,0.0128603,0.00119305,-0.00306082
1,9,-0.00738049,-0.00219298,-0.00872421,0.00606966,0.0036912,0.0162172,0.00317669,-0.000771999
2,0,-0.00768566,-0.00585508,-0.0088768,0.00729036,-0.000581264,0.0137758,0.0018034,0.00105906
2,1,-0.00615978,-0.00234556,-0.00353622,0.00927401,0.000486851,0.0122499,-0.00185871,-0.00489187
2,2,-0.00600719,-0.000972272,-0.00445175,0.00240755,-0.000123501,0.0134706,-0.00353718,-0.00107718
2,3,-0.0021925,0.00299501,-0.00536728,-0.000186444,-0.00149679,0.0107241,-0.00597858,-0.00214529
2,4,-0.00875378,-0.00448179,-0.00979233,0.00332308,0.00170755,0.0130129,-0.000180244,0.00258493
2,5,-0.00249767,-0.00158262,-0.00368881,0.000729084,-0.000123501,0.0116396,0.0068388,0.0080781
2,6,0.00604725,-0.00219298,-0.00307846,-0.00247526,-0.000581264,0.0133181,0.00592327,0.0157075
2,7,0.00909901,0.00360536,-0.00399399,-0.0114779,-0.00164938,0.00751972,0.00622845,0.00411081
2,8,0.0156603,-0.0031085,-0.00689316,-0.0020175,-0.00195456,0.0124025,0.0190458,-0.0122161
2,9,0.00772572,-0.000972272,-0.00521469,-0.0143771,-0.00088644,0.0124025,0.0135527,-0.0283904
3,0,0.00330067,-0.00158262,-0.00613022,-0.00308561,0.00353861,0.0130129,0.00851727,-0.015573
3,1,0.00269032,0.00116396,-0.00445175,-0.0058322,0.000792027,0.0078249,0.00317669,0.00380564
3,2,-0.00051403,-0.00295591,-0.00597763,-0.0134616,0.000334263,0.0116396,0.00744915,0.00624704
3,3,-0.0104322,-0.00371885,-0.00643539,-0.0154452,-0.00180197,0.0107241,0.00653362,0.00289011
3,4,-0.00127697,-0.00219298,-0.00353622,-0.00781584,0.00430155,0.0130129,0.00592327,0.00121164
3,5,-0.00875378,-0.00371885,-0.00414658,-0.0102572,0.000181675,0.00935078,0.0042448,0.00105906
3,6,-0.00677013,0.00101137,-0.000179291,-0.0139194,-0.000428677,0.00874043,0.00393963,-0.00168753
3,7,-0.00127697,-0.00143004,-0.00445175,-0.00735807,-0.0013442,0.00858784,0.00760174,0.0042634
3,8,0.00436878,-0.00173521,-0.0038414,0.00164461,0.00292826,0.0108767,0.000582695,-0.00321341
3,9,0.000859261,-0.00387144,-0.00414658,0.0130887,0.000181675,0.00813007,-0.00735188,-0.011148
4,0,-0.00142956,0.0019269,-0.00124741,0.00347567,-0.00088644,0.00843525,-0.00491047,-0.015573
4,1,-0.00188732,-0.00387144,-0.00567246,0.00347567,-0.00348043,0.00751972,0.00760174,-0.0148101
4,2,0.00589466,-0.00204039,-0.00475693,0.0030179,-0.00225973,0.00217915,-0.00292683,-0.0096221
4,3,0.00864124,-0.00463438,-0.00307846,-0.00354338,0.000486851,0.0105715,-0.0082674,-0.00855398
4,4,0.0054369,-5.67448e-005,-0.00124741,-0.0058322,0.000944614,0.00843525,-0.0319185,-0.00977468
4,5,0.00955677,-0.00966978,0.00958633,-0.00598478,0.000486851,0.00629902,-0.0313082,0.000448704
4,6,0.00970936,-0.00463438,0.00485611,-0.00552702,-0.00348043,0.00355244,-0.0145235,0.00365305
4,7,0.00513172,-0.0166888,0.0100441,0.00927401,0.000639439,0.00950336,0.00485516,0.00441599
4,8,0.0121508,-0.0104327,0.00958633,0.0140042,0.00186014,0.0090456,0.0333891,0.00319529
4,9,0.00894642,-0.0110431,0.0190468,0.00973177,0.00430155,0.00858784,0.0462065,0.000906467
5,0,-0.0165358,-0.0147052,0.0156898,-0.00155973,-0.00378561,0.00370502,0.0463591,-0.00534964
